"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
2023-01-01,"Top1",17848762,0.416346248317821,42869996,5673236,8314090,1041968,4377559,4815705,0.0644610205039999,0.062395467711017,0.0524669004952223,-0.00801219490573896,-0.300875719073244,0.0376659765278259,0.403152763964215
2023-04-01,"Top1",18938619,0.424970192696972,44564582,5975493,8480353,1043339,4414420,4847799,0.074842601768,0.0592690205546766,0.062395467711017,-0.0228596042057583,-0.858428924165435,0.0342681185420172,0.366784243489917
2023-07-01,"Top1",18225672,0.414842865023849,43933917,6029064,8490555,1047879,4456298,4888820,-0.0449624896119999,-0.0383720209898719,0.0592690205546766,0.00934892612169388,0.351072945992925,-0.0632874573358799,-0.677388871900834
2023-10-01,"Top1",20052669,0.437221639446647,45863853,5992786,8242021,1051996,4561754,5171525,0.1056461858,0.0955311124573122,-0.0383720209898719,-0.0150512455657719,-0.565207709725818,0.073284826201118,0.784394378247205
2024-01-01,"Top1",21875111,0.456616535191691,47906962,6126201,8160510,1057303,4661920,5093022,0.0884278211239999,0.0869872444162674,0.0955311124573122,-0.0114574784495022,-0.430253770385812,0.0610805346843175,0.653767369185371
2024-04-01,"Top1",22290411,0.457804971818198,48689753,6331689,8267282,1060258,4611701,5230622,0.0226405733999999,0.0188070794730493,0.0869872444162674,-0.00800324973810699,-0.300539808155554,-0.00686607205644425,-0.07349008793355
2024-07-01,"Top1",23887849,0.472070839530768,50602255,6299379,8317106,1060449,4702848,5473259,0.0460835974400002,0.0692133336218532,0.0188070794730493,0.0203351337203899,0.763629448927965,0.0454039792262594,0.485975445413384
2024-10-01,"Top1",24132662,0.473244467969619,50994071,6250827,8372727,1018927,4905399,5299090,0.0208312433000002,0.0101962730456684,0.0692133336218532,-0.0137922015123055,-0.517927808351944,-0.0149910045639775,-0.160454221068792
2025-01-01,"Top1",23308381,0.462886853876726,50354381,6345501,8335600,1000530,5020870,5322137,-0.06116958352,-0.034753197190998,0.0101962730456684,0.0328961436521156,1.23532327814162,-0.0583271635327013,-0.624297027717565
2025-04-01,"Top1",25578791,0.482678987450885,52993380,6489671,8322880,996896,5040798,5474775,0.102803140656,0.0929505360805578,-0.034753197190998,-0.0147297527721632,-0.553134941078542,0.0706053243754439,0.755714687272788
